group_id,component,D_A2_per_ns,source_file
mucin_Q009,mucin,0.10156,diffusion_coefficients_mucins.txt
mucin_D050,mucin,0.08745,diffusion_coefficients_mucins.txt
mucin_Q006,mucin,0.12372,diffusion_coefficients_mucins.txt
mucin_Q00a,mucin,0.08027,diffusion_coefficients_mucins.txt
mucin_Q002,mucin,0.06074,diffusion_coefficients_mucins.txt
mucin_Q00b,mucin,0.09093,diffusion_coefficients_mucins.txt
mucin_Q00d,mucin,0.06888,diffusion_coefficients_mucins.txt
mucin_D051,mucin,0.05886,diffusion_coefficients_mucins.txt
mucin_D04q,mucin,0.05718,diffusion_coefficients_mucins.txt
mucin_Q00e,mucin,0.08039,diffusion_coefficients_mucins.txt
mucin_Q00h,mucin,0.06974,diffusion_coefficients_mucins.txt
mucin_D04t,mucin,0.05999,diffusion_coefficients_mucins.txt
mucin_Q00i,mucin,0.06003,diffusion_coefficients_mucins.txt
mucin_Q00j,mucin,0.06604,diffusion_coefficients_mucins.txt
mucin_Q00p,mucin,0.0707,diffusion_coefficients_mucins.txt
mucin_Q00o,mucin,0.09531,diffusion_coefficients_mucins.txt
mucin_Q00l,mucin,0.05167,diffusion_coefficients_mucins.txt
mucin_Q00k,mucin,0.07011,diffusion_coefficients_mucins.txt
mucin_Q00f,mucin,0.08936,diffusion_coefficients_mucins.txt
mucin_Q00r,mucin,0.11973,diffusion_coefficients_mucins.txt
mucin_Q00g,mucin,0.04548,diffusion_coefficients_mucins.txt
mucin_Q00s,mucin,0.11181,diffusion_coefficients_mucins.txt
mucin_Q00q,mucin,0.07466,diffusion_coefficients_mucins.txt
mucin_Q00m,mucin,0.04633,diffusion_coefficients_mucins.txt
mucin_Q00u,mucin,0.18688,diffusion_coefficients_mucins.txt
mucin_Q00y,mucin,0.09531,diffusion_coefficients_mucins.txt
mucin_Q00x,mucin,0.06972,diffusion_coefficients_mucins.txt
mucin_Q00z,mucin,0.07045,diffusion_coefficients_mucins.txt
mucin_Q016,mucin,0.05671,diffusion_coefficients_mucins.txt
mucin_Q00w,mucin,0.13122,diffusion_coefficients_mucins.txt
mucin_Q017,mucin,0.0747,diffusion_coefficients_mucins.txt
mucin_Q012,mucin,0.09933,diffusion_coefficients_mucins.txt
mucin_Q019,mucin,0.107,diffusion_coefficients_mucins.txt
mucin_Q013,mucin,0.11471,diffusion_coefficients_mucins.txt
mucin_Q010,mucin,0.12488,diffusion_coefficients_mucins.txt
mucin_Q01a,mucin,0.04929,diffusion_coefficients_mucins.txt
mucin_Q01b,mucin,0.07611,diffusion_coefficients_mucins.txt
mucin_Q015,mucin,0.10498,diffusion_coefficients_mucins.txt
mucin_Q014,mucin,0.14061,diffusion_coefficients_mucins.txt
mucin_Q00n,mucin,0.0661,diffusion_coefficients_mucins.txt
mucin_Q01c,mucin,0.06211,diffusion_coefficients_mucins.txt
mucin_Q01d,mucin,0.11544,diffusion_coefficients_mucins.txt
mucin_Q01f,mucin,0.07193,diffusion_coefficients_mucins.txt
mucin_Q01g,mucin,0.08572,diffusion_coefficients_mucins.txt
mucin_Q01h,mucin,0.09397,diffusion_coefficients_mucins.txt
mucin_Q01l,mucin,0.10292,diffusion_coefficients_mucins.txt
mucin_Q01i,mucin,0.06241,diffusion_coefficients_mucins.txt
mucin_Q01o,mucin,0.10904,diffusion_coefficients_mucins.txt
mucin_Q01k,mucin,0.06039,diffusion_coefficients_mucins.txt
mucin_Q01p,mucin,0.17218,diffusion_coefficients_mucins.txt
mucin_Q01m,mucin,0.04269,diffusion_coefficients_mucins.txt
mucin_Q01r,mucin,0.09875,diffusion_coefficients_mucins.txt
mucin_Q01q,mucin,0.06309,diffusion_coefficients_mucins.txt
mucin_Q01s,mucin,0.06841,diffusion_coefficients_mucins.txt
mucin_Q01u,mucin,0.11049,diffusion_coefficients_mucins.txt
mucin_Q01y,mucin,0.08461,diffusion_coefficients_mucins.txt
mucin_Q01z,mucin,0.11407,diffusion_coefficients_mucins.txt
mucin_Q020,mucin,0.10652,diffusion_coefficients_mucins.txt
mucin_Q022,mucin,0.06179,diffusion_coefficients_mucins.txt
mucin_Q01w,mucin,0.08442,diffusion_coefficients_mucins.txt
